,index,ra,dec,ObjectId,g_psfMag,g_psfMagErr,r_psfMag,r_psfMagErr,u_psfMag,u_psfMagErr,g_psfFlux,g_psfFluxErr,r_psfFlux,r_psfFluxErr,u_psfFlux,u_psfFluxErr,g_extendedness,u_extendedness,r_extendedness,g_pixelFlags_inexact_psfCenter,u_pixelFlags_inexact_psfCenter,r_pixelFlags_inexact_psfCenter,g-r,u-g,g-r_err,u-g_err,color_flags,diaObjectId,nDiaSources,g_psfFluxMean,u_psfFluxMean,r_psfFluxMean,i_psfFluxMean,z_psfFluxMean,y_psfFluxMean,g_psfFluxSigma,u_psfFluxSigma,r_psfFluxSigma,i_psfFluxSigma,z_psfFluxSigma,y_psfFluxSigma,g_scienceFluxMean,u_scienceFluxMean,r_scienceFluxMean,i_scienceFluxMean,z_scienceFluxMean,y_scienceFluxMean,g_scienceFluxMeanErr,u_scienceFluxMeanErr,r_scienceFluxMeanErr,i_scienceFluxMeanErr,z_scienceFluxMeanErr,y_scienceFluxMeanErr,g_psfFluxChi2,u_psfFluxChi2,r_psfFluxChi2,i_psfFluxChi2,z_psfFluxChi2,y_psfFluxChi2,g_psfFluxPercentile25,g_psfFluxPercentile75,u_psfFluxPercentile25,u_psfFluxPercentile75,r_psfFluxPercentile25,r_psfFluxPercentile75,i_psfFluxPercentile25,i_psfFluxPercentile75,z_psfFluxPercentile25,z_psfFluxPercentile75,y_psfFluxPercentile25,y_psfFluxPercentile75,g_psfFluxStetsonJ,u_psfFluxStetsonJ,r_psfFluxStetsonJ,i_psfFluxStetsonJ,z_psfFluxStetsonJ,y_psfFluxStetsonJ,r_psfFluxIQR,r_psfFluxIQRFrac,shape_flags,point_size,simbad_results
1029,84200,95.51101164400185,-24.790192805384606,614437540329429835,15.808,0.000337889,15.5747,0.000258605,16.8271,0.00152449,1725050.0,536.85,2138470.0,509.35,674784.0,947.47,0.0,1.0,,False,True,True,0.23329926,1.0191011,0.000596494,0.001862379,in_dia,6.144375403294228e+17,19.0,35961.96484375,61931.38671875,,410761.46875,18179.62109375,-37928.62890625,41070.815251734,31300.153014791602,,,33461.05310905901,,1547121.25,722266.3125,,2556415.5,2592413.0,2529373.5,554.4744873046875,837.45947265625,,1816.7633056640625,781.266357421875,3711.714599609375,3504.32,869.439,,0.0,1453.28,0.0,14129.81640625,70290.8671875,41331.49560546875,76435.654296875,,,410761.46875,410761.46875,-10659.767333984375,30386.548828125,-37928.62890625,-37928.62890625,23.19081544628599,14.240928522238605,,,11.13507505300262,,,,in_dia,15,N/A
1163,93368,95.29337758583196,-24.72112757173887,614437677768392917,16.8726,0.000208514,16.615,0.000166094,17.8607,0.00141454,647090.0,124.272,820330.0,125.493,260458.0,339.336,0.0,0.0,0.0,False,True,True,0.25760078,0.98810005,0.000374608,0.001623054,in_dia,6.144376777683763e+17,104.0,10243.2734375,-9854.08203125,8518.6748046875,9512.267578125,-1325.437744140625,-10437.4375,5123.6956915613655,,7727.735058383455,7473.13445655982,5121.034242616692,,614449.75,233838.03125,800284.5625,864320.875,729340.875,458258.25,137.5642852783203,1048.9110107421875,137.33755493164062,328.8011169433594,263.7694396972656,1854.998779296875,1297.87,0.0,2744.06,436.281,352.278,0.0,8148.9947509765625,12479.251708984375,-9854.08203125,-9854.08203125,3591.788818359375,12132.695556640625,4686.818603515625,11851.5615234375,-4713.4915771484375,1001.0930786132812,-10437.4375,-10437.4375,4.416885570582713,,6.197668447619741,4.744147828729419,2.7526637338392472,,8540.90673828125,0.010282979758924941,in_dia,15,N/A
1166,93414,95.27133522625249,-24.71999203584265,614437677768393040,15.5919,0.000134765,15.2777,0.000170826,16.7483,0.000623795,2104880.0,261.265,2811320.0,442.324,725600.0,416.883,,0.0,,True,False,True,0.31419945,1.1564007,0.00030559098,0.00075855997,in_dia,6.144376777683763e+17,65.0,-19011.46484375,-430.2261962890625,,,-238799.875,20221.623046875,202754.32623112877,11605.091225729175,,,533937.4740332206,35530.638891803574,1989386.625,729344.8125,,,3229969.75,4060002.75,276.4249267578125,627.474853515625,,,485.0770568847656,2112.7998046875,1402600.0,269.524,,,1854000.0,204.192,97527.42578125,120999.0546875,-10362.75244140625,7375.79150390625,,,,,127154.740234375,172071.359375,2350.9541015625,41348.58203125,56.43498191708065,5.085685690241506,,,110.38358185951913,5.6490675665939225,,,in_dia,15,N/A
1908,130046,94.70917878436896,-24.849344762106014,614430393503851554,15.5215,9.94115e-05,15.243,0.000154371,16.6881,0.000475908,2245980.0,205.645,2902800.0,412.724,766921.0,336.163,,0.0,,True,True,True,0.2784996,1.1666012,0.0002537825,0.0005753195,in_dia,6.144303935038423e+17,102.0,39264.35546875,14403.0537109375,,,-112969.9765625,91838.3828125,191753.86440996284,6730.919373115917,,,298121.0012739759,71261.96007661121,2031553.875,775823.75,,,3408546.75,4001743.0,202.26568603515625,426.1304016113281,,,476.3420104980469,2125.2548828125,1686390.0,214.59,,,847053.0,759.295,145568.953125,177099.89453125,9899.908203125,16185.280029296875,,,,,9102.2666015625,32291.419921875,57052.3203125,114874.2890625,57.77735554516645,2.1972367437888543,,,38.85374398057874,10.424685868630327,,,in_dia,15,N/A
2021,135139,94.72747684947551,-24.67645898654572,614431080698619593,15.9092,0.00026204,15.6141,0.000755218,16.9964,0.000791515,1571550.0,379.291,2062420.0,1434.58,577372.0,420.911,,0.0,,True,False,True,0.29509926,1.0872011,0.001017258,0.0010535549,in_dia,6.144310806986097e+17,29.0,18741.541015625,16613.197265625,,,,-91410.2265625,326781.2517013519,10539.747852058274,,,,30590.354832526322,2242065.25,602273.25,,,,7658602.0,385.4257507324219,485.1534729003906,,,,4056.27392578125,1381800.0,382.212,,,,31.658,230431.25390625,284752.1171875,9986.3291015625,19758.72607421875,,,,,,,-100838.234375,-72858.2578125,100.79312826514042,4.295321662994743,,,,2.1923073163018305,,,in_dia,15,N/A
2181,145340,95.13433571490735,-24.520865137954452,614439052157918984,15.964,0.000241958,15.6929,0.000245928,17.0078,0.000997042,1494210.0,332.987,1918030.0,434.449,571335.0,524.662,0.0,0.0,,False,False,True,0.27110004,1.0437994,0.00048788602,0.001239,in_dia,6.14439052157911e+17,36.0,2549.7578125,22816.453125,177545.59375,293187.0,36143.7890625,115602.0234375,20120.71000619206,6232.670450552401,26357.77592945458,48272.96461182544,12970.330674580835,,543294.25,581639.6875,2123160.25,2373853.5,2408481.25,2396560.75,231.0157012939453,595.3676147460938,543.5548095703125,1249.6884765625,675.892822265625,3601.902587890625,4419.7,86.1662,1552.89,625.724,317.1,0.0,-28368.134765625,-6805.3212890625,18000.25732421875,26687.69140625,161615.41796875,182846.64453125,279093.1015625,313227.2421875,27606.84375,45885.375,115602.0234375,115602.0234375,22.975276574890273,3.3503788937404386,10.181749750843831,23.452626414310608,4.4649203514308935,,21231.2265625,0.13486397363221794,in_dia,15,N/A
2185,145500,95.15625807688872,-24.500307978831433,614439052157919660,15.9831,0.000550202,16.0301,0.000718725,17.2304,0.00125804,1468100.0,743.967,1405910.0,930.668,465399.0,539.258,,0.0,,True,False,True,-0.04699993,1.2473001,0.001268927,0.0018082419,in_dia,6.144390521579116e+17,12.0,215162.375,22873.568359375,,,784887.0625,,48081.17515222524,9707.792976899364,,,59362.01202817508,,2775225.0,479567.9375,,,7549137.0,,889.4432373046875,545.6983642578125,,,2904.644287109375,,1734.8,236.488,,,190.466,,185254.83984375,249000.83984375,18769.6103515625,28701.13671875,,,,,767608.515625,809583.796875,,,21.74068124824884,4.615515507062066,,,12.660625773288803,,,,in_dia,15,N/A
2193,145727,95.24449931699382,-24.52023371038614,614439052157919440,16.6165,0.000535464,16.3304,0.000584005,17.7415,0.00187821,819225.0,404.026,1066210.0,573.5,290675.0,502.836,0.0,0.0,0.0,True,False,False,0.2861004,1.125,0.0011194691,0.002413674,in_dia,6.144390521579113e+17,15.0,6198.11669921875,10731.58203125,,-3155.9765625,4436.83642578125,,14197.171452748938,2706.501881293331,,4456.8581252194645,8377.350809416337,,766229.3125,275539.25,,1207862.625,873968.1875,,496.1220703125,548.1143798828125,,707.2954711914062,565.40087890625,,445.465,15.3037,,23.0438,196.128,,-1413.8355102539062,11152.4755859375,9840.163818359375,11518.506591796875,,,-5268.217529296875,-844.5588989257812,4037.888916015625,12900.373046875,,,9.897715025493925,0.9569087507901342,,2.33665149768059,5.436720629061896,,,,in_dia,15,N/A
2200,145942,95.21553202689483,-24.537917108139638,614439052157918446,16.0644,0.000299546,15.7802,0.000297664,17.1434,0.00121001,1362230.0,375.828,1769750.0,485.193,504265.0,561.984,0.0,0.0,,False,False,True,0.2841997,1.0790005,0.00059721,0.0015095561,in_passed,6.14439052157911e+17,35.0,14689.8857421875,12469.5673828125,-204304.875,-499631.15625,39045.39453125,31284.6484375,30976.784888772894,2781.8806729232656,394298.16582169896,549884.991841221,10565.933859959103,,1374184.75,510681.25,1167791.75,459438.65625,2432336.5,2437861.75,489.9095153808594,731.5703125,373.3484191894531,329.3694152832031,691.8823852539062,3667.8603515625,3066.11,9.58207,804119.0,687212.0,205.488,0.0,2026.9433898925781,33830.4169921875,11575.511962890625,14280.80712890625,87100.9921875,129286.0703125,-650293.1875,281835.0,32165.52734375,47353.5302734375,31284.6484375,31284.6484375,21.23762041718513,0.5895359543285331,190.78306758690508,369.56597396865556,3.3150014018849867,,42185.078125,0.36447442066164815,in_passed,60,N/A
2269,150123,95.08111789706889,-24.599362986219493,614438433682634364,16.049,0.000156725,15.7381,0.000140827,17.1519,0.000778598,1381630.0,199.437,1839820.0,238.636,500318.0,358.785,0.0,0.0,,False,False,True,0.31089973,1.1028996,0.000297552,0.000935323,in_dia,6.144384336826205e+17,55.0,5824.80322265625,-15683.1611328125,119873.7265625,-608289.625,-53051.44921875,7248.79443359375,6931.5714036857935,3589.072137512664,19293.50120792326,793902.801703438,9361.394621163114,26680.617752173945,1167018.875,507018.0,2035343.375,978673.9375,2383141.25,2407551.5,352.2636413574219,437.399169921875,364.16302490234375,755.868896484375,646.0870971679688,1495.9947509765625,252.861,54.8139,2357.98,249351.0,175.34,254.39,6653.2822265625,8540.8134765625,-17051.1123046875,-13652.83837890625,103511.6953125,128292.25,-611001.53125,-49627.484375,-55746.951171875,-48900.505859375,140.92041015625,17563.5078125,3.1034586783511138,1.478757815326208,10.154421577046161,407.87541647525205,2.4722087928651106,4.358231887156624,24780.5546875,0.07540874254343043,in_dia,15,N/A
2331,152106,94.90799739011969,-24.606243500936927,614438502402110798,15.4719,0.000144951,15.2048,0.000173815,16.6257,0.000636208,2350950.0,313.863,3006760.0,481.351,812319.0,475.994,1.0,0.0,,True,False,True,0.26710033,1.1538,0.000318766,0.000781159,in_dia,6.144385024020972e+17,68.0,-91349.2265625,3830.01513671875,-517502.96875,,-36955.51953125,62017.62890625,256206.3093069694,11124.9091796875,641205.1324101111,,20528.077323284648,105692.84058196092,1640344.5,807919.0625,869087.25,,3861339.25,3869197.5,307.64398193359375,648.5648803710938,229.4907989501953,,608.1898193359375,2072.5107421875,1098800.0,237.989,2613930.0,,1022.01,1993.08,40690.3203125,88481.98046875,-2147.84912109375,11531.76611328125,-1034887.5,192324.953125,,,-45380.375,-23345.77734375,-14157.7080078125,123412.28125,79.41419299482438,4.507312874853922,309.7723517478744,,5.21254332860513,18.01923276225668,1227212.453125,8.423087907302017,in_dia,15,N/A
2333,152199,94.89238348131991,-24.605022256980238,614438502402110888,15.5049,0.000142907,15.225,0.000205045,16.6113,0.000705893,2280500.0,300.165,2951260.0,557.356,823172.0,535.186,,0.0,,True,True,True,0.2798996,1.1063995,0.000347952,0.00084879994,in_dia,6.144385024020972e+17,38.0,26554.587890625,1193.2735595703125,,,-33250.98828125,72847.8046875,22643.80817502567,11263.3408203125,,,21736.576789294206,133028.94022570955,1145430.0,756979.0,,,4044071.0,3847178.0,382.908203125,591.041259765625,,,656.2244262695312,2041.0975341796875,1350.21,290.918,,,959.338,2988.5,20533.82568359375,54800.7666015625,-8688.10205078125,8597.855590820312,,,,,-44795.759765625,-22034.53125,-28060.4140625,168771.59375,11.361383829333755,5.7495173588981885,,,5.02025225495362,22.753147046497293,,,in_dia,15,N/A
2339,152254,94.89790417931775,-24.56556039077995,614438502402111762,15.8537,0.000182274,15.5673,0.000207805,16.8816,0.000922094,1653940.0,277.665,2153110.0,412.096,641750.0,545.026,0.0,0.0,,False,True,True,0.28639984,1.0278997,0.000390079,0.001104368,in_passed,6.144385024020973e+17,40.0,-11447.11328125,26025.44921875,-103312.25,-382385.6875,-7298.271484375,-106672.7265625,32199.855422620614,4110.88330078125,343472.9430393721,617899.365789725,19527.331517570827,41459.609600343814,1099729.875,653431.0625,1918260.625,1204695.875,2578590.0,2603041.25,449.65240478515625,592.583251953125,554.6474609375,622.8165893554688,574.5177612304688,2695.363037109375,3002.21,31.8246,190994.0,481559.0,1076.21,90.4525,-35189.19921875,-2080.00439453125,22352.927734375,29041.7626953125,-12364.65185546875,13371.19921875,-136389.96875,228351.0859375,-19530.5205078125,-3583.539306640625,-122288.064453125,-92971.693359375,22.437451663490254,1.7330274044765712,79.17579527133917,284.97320160473413,5.9916622859091015,8.755509449087981,25735.85107421875,0.14330797691107672,in_passed,60,N/A
2387,154158,94.91684003530044,-24.702189900871865,614438502402106275,15.365,0.000107142,15.096,0.000166082,16.4803,0.000428178,2594180.0,255.997,3323430.0,508.376,928735.0,366.262,,0.0,,True,False,True,0.26900005,1.1153011,0.000273224,0.00053532,in_dia,6.144385024020972e+17,99.0,-27974.935546875,-6236.12060546875,,,-192211.265625,-25297.765625,322139.6647979862,7593.57666015625,,,425417.7970138872,32414.719742826415,1914941.125,831987.125,,,4166281.25,4908419.5,224.69259643554688,457.7897033691406,,,464.2472839355469,2178.265625,3310350.0,284.431,,,1759620.0,173.628,193423.4375,230796.5625,-11802.9453125,-6364.9246826171875,,,,,21327.78466796875,53813.724609375,-43039.45458984375,-6359.8607177734375,97.0986911443387,2.7320394744321925,,,57.09062530952566,4.213260531811958,,,in_dia,15,N/A
2551,160266,95.06132341567617,-24.621210451940385,614438433682633022,15.8673,0.000134761,15.5377,0.000126183,17.0481,0.000768426,1633330.0,202.727,2212600.0,257.146,550481.0,389.601,0.0,0.0,,True,False,True,0.32960033,1.1807995,0.000260944,0.00090318697,in_passed,6.144384336826204e+17,103.0,-36217.328125,-14547.2607421875,76961.0234375,-322494.3125,-27498.638671875,19754.6484375,128678.96593501317,4359.067243278502,197935.31890828858,678355.2469087495,10536.58273991706,22329.451656311052,1402726.0,556555.375,2053667.625,1372520.875,2898938.75,2932764.5,214.8635711669922,482.59368896484375,268.5829162597656,536.61181640625,544.3640747070312,1414.074462890625,750033.0,62.6784,1607220.0,873307.0,324.178,213.966,16572.0849609375,26546.705078125,-18726.97265625,-10909.7705078125,196613.875,233996.140625,-578127.8125,350829.984375,-31751.810546875,-21323.318359375,17110.023681640625,32473.6845703125,35.977194880169996,2.06411692541562,55.40567966654407,337.6534202685675,2.596854347654972,3.1947264173689636,37382.265625,0.02230458252184175,in_passed,60,N/A
